name,address,icon,userComment,rating,tags,photos
"Peppo","Via Melo da Bari, 233, 70121 Bari BA, Italie","restaurant","Super bistronomique ! Les pastas au crabe sont délicieuses ! Amateurs de pâtes et de fruits de mer, c’est pour vous ! Super desserts ! Une adresse à ne pas hésiter ","5","À essayer#Authentique#Cadre sympa#Pasta#Restaurant#Italien#Fruits de mer",""
"Enomezcla","Lungomare Araldo di Crollalanza, 3 70121 Bari Italy","generic","Bar à vin typique ! Vue sur mer ! Excellents vins et spritz avec un apéro à la barese ! Super apéro à tester ++ ","4","Bar à vin#À essayer#Ambiance#Authentique#Bar",""
"Martinucci Laboratory","Via Monte S. Michele, 57, 70011 Alberobello BA, Italie","restaurant","Bonnes glaces à la capitale des trulli! Superbes pâtisseries ","3.5","À essayer#Glace",""
"IL PIZZICOTTO","Via degli Ammirati, 14/D, 73100 Lecce LE, Italie","restaurant","Pizzas bellisimassss","4.5","À essayer#Ambiance#Food truck#Italien#Specialites locales#Street food",""
"Gelateria Gentile","Piazza Federico II di Svevia, 85, 70122 Bari, Italie","shopping","Meilleur glacier de Bari !! Très généreux et délicieux ","4.5","Glace",""
"Piccinni 28","Via Niccolò Piccinni, 28, Bari BA 70122","restaurant","Tres bonnes pizzas mais un peu salées ! Attention aux hypertendus ! 

Pastas au poulpe très bonnes mais salées ++","4","À essayer#Ambiance#Authentique#Carpe diem#Italien#Pizza#Restaurant#Pasta",""
"Bella Blu Gelateria","Piazza Giuseppe Garibaldi, 7, 70043 Monopoli BA, Italie","generic","Très bon glacier comme on les aime ! Meilleur glacier de monopoli","4.5","À essayer#Authentique#Glace",""
"Carloquinto Srl","Via Santa Maria, 52, 70043 Monopoli BA, Italie","restaurant","Bar adorable vue sur mer","","À essayer#Bar à vin#Bar",""
"Azienda Agricola Aia Antica","Contrada Camastra, 72017 Ostuni BR, Italie","generic","Très bonnes pizzas et foccacia","4","À essayer#Ambiance#Authentique",""
"Urban - Cucina a Peso","Via Domenico Nicolai, 10, 70122 Bari BA, Italia","restaurant","Adresse cool et sympa ! Fancy vibes ! Plats très copieux ! Original pour les bao fusion italien","4","À essayer#Ambiance#Amis#Authentique#Restaurant#Specialites locales",""
"L'Enoteca Italiana","30 Rue Charles Gille, 37000 Tours, France","generic","Resto italien type semi gastro ! Excellentes pâtes au truffe ","4.5","À essayer#Ambiance#Amis",""
"Portland Place","41 Portland Pl, London, W1B 1QH, England","generic","Boîte secrète dans un appartement londonien ! On ne peut recommander ","","À essayer#Ambiance",""
"The Piano Works - Farringdon","113-117 Farringdon Road Entrance corner of, Ray St, Farringdon, Greater London EC1R 3BX, Royaume-Uni","generic","Bar / boîte avec un groupe de musique en live : très sympa et top ","","Ambiance#Bar#Authentique#À essayer",""
"Ben's Cookies","13A The Piazza, London WC2E 8HD, Royaume-Uni","restaurant","Très bon cookies on adore ","4.5","À essayer#Ambiance#Excellent#Fancy#Gouter",""
"Lima Floral","14 Garrick St, London WC2E 9BJ, Royaume-Uni","restaurant","Petit café très sympa avec tapas péruviens ","","À essayer#Ambiance#Authentique",""
"Borough Market","14 Winchester Walk London Angleterre SE1 9AG Royaume-Uni","generic","Marche de borough tres sympa avec le fameux fish and chips ","3.5","Ambiance#À essayer#Authentique",""
"Dishoom","5 Stable St, London N1C 4AB, Royaume-Uni","restaurant","Restaurant indien ","","Indien#Cadre sympa#Ambiance#Restaurant",""
"The Thirsty Farrier","Ashford, TN27 9HA, Royaume-Uni","generic","Bar au bord de la sauvette pour des cocktails ","","À essayer#Ambiance#Bar",""
"Botanist On Sloane Square","Public Square, Sloane Sq London Angleterre SW1W 8AQ Royaume-Uni","generic","Petit bar en terrasse sympa","4","Bar#Cadre sympa",""
"Eggbreak","30 Uxbridge St, Notting Hill, Greater London W8 7TA, Royaume-Uni","restaurant","Très bon brunch dans le quartier de Notting Hill !! ","4.5","À essayer#Brunch#Ambiance#Carpe diem",""
"Serpentine Bar & Kitchen","Serpentine Road, Hyde Park, London W2 2UH, Royaume-Uni","restaurant","Bar très sympa en plein milieu d’Hyde Park! Cadre bucolique ! Adorable ","","À essayer#Ambiance#Bar#Cadre sympa#Carpe diem",""
"My Place Soho","21 Berwick St, London W1F 0PZ, Royaume-Uni","restaurant","Tres good vibes et bon ! Brunch ","","À essayer#Brunch",""
"Farouche","36 Av. Henri Ginoux, 92120 Montrouge, France","restaurant","Très belle découverte ! Nouvelle adresse à Montrouge très sympa ! N’a que farouche de nom ! Plats raffinés et  délicieux !
Un plaisir de voir la chef nous conseiller et d’échanger avec elle ","5","À essayer#Authentique#Viandes#Restaurant",""
"OFF Paris Seine","86 Quai d'Austerlitz, Paris 75013","lodging","Bar sur une péniche avec superbe vue sur la Seine et piscine ! Je recommande ++ pour un verre de qualité entre jeunes cadres dynamiques ","4","À essayer#Ambiance#Peniche",""
"Le Vert Tulipe","2 Rue de Londres, 75009 Paris, France","generic","Bar très sympa à côté de la trinité ","4","À essayer#Ambiance#Amis#Authentique#Bar",""
"Gatsby","64 Av. Bosquet, 75007 Paris, France","bar","Bar près des invalides et École Militaire !
Sous sol très sympa et cocktails bon ! Une adresse sympa dans le 7","3.5","Ambiance#À essayer#Amis#Bar",""
"Madina Fast Food","84 Rue du Faubourg Saint-Denis, 75010 Paris, France","restaurant","Pizzeria qui fait son job au décor sympa à Strasbourg sT Denis ! Rien d’exceptionnel mais correct","2","À essayer#Amis#Pizza",""
"Le Rhinocéros","17 Rue Étienne Marcel, 75001 Paris, France","restaurant","Bar sympa près de châtelet avec Hh de 17h à 21h et très bonnes tapas ","","À essayer#Ambiance#Bar#Happy hour",""
"La Mer Paulette","16 Rue des Bains, 14360 Trouville-sur-Mer, France","generic","Restaurant de fruits de mer : très bon plats notamment les linguines de la mer ! ","4","À essayer#Ambiance#Cadre sympa#Brasserie#Fruits de mer#Moules#Restaurant",""
"Les Etiquettes","65 Rue des Bains, 14360 Trouville-sur-Mer, France","bar","Restaurant très sympa et avec d’excellents produits locaux et très bien cuisinés ","4.5","À essayer#Ambiance#Authentique#Amis#Bar à vin#Fancy#Restaurant",""
"Sales Gosses","55P Place du Marche 14800 Deauville France","generic","Bar à cocktail donnant sur la plage du marché ","4","Ambiance#Amis#Authentique#Bar",""
"Aquarius","Prom. des Planches, 14360 Trouville-sur-Mer, France","generic","Brasserie très bonne au bord de mer avec serveurs très sympas et de bon conseil! Excellentes moules provenant de l’arrivage du matin","4","À essayer#Ambiance",""
"Le Cardinal","5 Place de la Porte de Saint-Cloud, 75016 Paris, France","restaurant","Brasserie typique parisienne ! Pour les amateurs de fruits de mer c’est idéal. Néanmoins coup de cœur pour le « tigre qui pleure » et les accompagnements aux morilles. Brasserie très bobo chic mais valeur sûre pour repas en famille ","4.5","À essayer#Authentique#Brasserie#Cadre sympa#Fruits de mer",""
"Non Solo Pizze","5 rue mesnil, Paris 75016","restaurant","Très bonnes pizzas","3.5","À essayer#Pizza",""
"Palmenhaus","Burggarten 1, 1010 Wien, Autriche","restaurant","Brasserie dans l’ancien jardin botanique du palais HOFBURG! Cadre très sympa et brasserie très bonne! 

Idéal pour un repas ensoleillé avec un bon spritz ","4","À essayer#Ambiance#Authentique#Cadre sympa#Carpe diem#Cocktails#Fancy#Restaurant",""
"Belladora E.U.","Praterstraße 68, 1020 Vienne, Autriche","generic","Resto copieux et délicieux! Très bien !

Resto connu et reconnu par les vegans ","4.5","À essayer#Authentique#Specialites locales#Restaurant",""
"Café Central","Herrengasse 14, 1010 Wien, Autriche","cafe","Café à faire absolument ! Café typique de Vienne avec un chocolat viennois à goûter et un gâteau sacher succulent ","3.5","À essayer#Ambiance#Amis#Authentique#Cafe#Carpe diem",""
"Volksgarten","Burgring 1, 1010 Wien, Autriche","bar","Terrasse bar sur un cadre très sympa et vue sur le palais HOFBURG!","3","À essayer#Bar#Amis",""
"Ramasuri","Praterstraße 19, 1020 Wien, Autriche","restaurant","Restaurant très sympa super une petite salle ! Cuisine très healthy et Green ! Service au top","4","À essayer#Ambiance#Amis#Cadre sympa#Carpe diem#Fancy#Green",""
"Spelunke","Obere Donaustraße 101 1020 Vienne Autriche","generic","Très bon resto fancy et qui se finit en party club","4.5","À essayer#Ambiance#Amis#Authentique#Carpe diem#Cocktails",""
"Le pompadour cocktail club","16 Rue Marie Stuart, 75002 Paris, France","generic","Bar à cocktail à côté de montorgueil ! Cadre sympa mais pas le meilleur bar à covktail","","À essayer#Ambiance#Amis#Bar#Cadre sympa#Carpe diem#Cocktails",""
"Barabaar","26 Rue Jean-Baptiste Say 69001 Lyon France","generic","Bar avec très belle vue Croix rousse ! Accompagnée d’un Concept store ","4","Ambiance#À essayer#Amis#Bar#Carpe diem",""
"Le Potager des Halles","3 Rue de la Martinière, 69001 Lyon, France","restaurant","Brunch à conseiller après une balade croix rousse ! Buffet à volonté avec cote de bœuf et araignée ! Excellente adresse ! 32 euros le brunch à volonté ! 

Très copieux et produits locaux ","3.5","À essayer#Ambiance#Authentique#Amis#Cadre sympa#Carpe diem#Brunch",""
"Le Bouchon des Cordeliers","15 Rue Claudia, 69002 Lyon, France","restaurant","Typique bouchon lyonnais ! Ambiance très chaleureuse ","3","À essayer#Ambiance#Amis#French cook#Restaurant#Poisson#Specialites locales",""
"Vivants","26 Rue Neuve, 69002 Lyon, France","generic","Très bonne adresse ! Spécialiste des GIN, vins et bières ! Le gin to est maison c est amazing ! Je recommande 

Les gnocchis du papa sont délicieux ","4.5","Ambiance#À essayer#Amis#Authentique#Bar#Bar à vin",""
"Maison Antoine (Ainay)","7 Rue de la Charité, 69002 Lyon, France","generic","Excellente boulangerie et salon de thé très bobo parisien! Un délice ","4","À essayer#Ambiance#Amis#Authentique#Boulangerie",""
"Les Infideles","Rue de Brest 69002 Lyon France","restaurant","Excellent resto en plein cœur du vieux Lyon ","4.5","À essayer#Ambiance#Authentique#Carpe diem#Cocktails#Excellent#French cook#Restaurant",""
"Modjo Lyon Part-Dieu","152 Rue Dr Bouchut Lyon 69003","bar","Excellent espace café coworking à côté de la gare ","4","À essayer#Ambiance#Coworking#Cadre sympa#Carpe diem",""
"Aux P’tits Oignons","Rue de la Régence, 1000 Bruxelles, Belgique, 1000 Bruxelles, Belgique","generic","Excellent restaurant belge ! Un délice gustatif / quartier des sablons ","5","Ambiance#À essayer#Authentique#Carpe diem#Cadre sympa#Excellent#Restaurant#Specialites locales",""
"Le Perroquet","Rue Watteeu 31, 1000 Bruxelles, Belgique","restaurant","Café art nouveau sympa ","2.5","Cafe",""
"Juffrouw Strik","GroentenMarkt 19 Ghent Belgium","generic","Très bon ","3.5","Cadre sympa#Carpe diem#Gaufre#Glace#Gouter#Salon de the",""
"Balls & Glory","Jakobijnenstraat 6, 9000 Gent, Belgique","restaurant","Boulettes de viandes typiques belges ! Très bon ","4","À essayer#Authentique",""
"Poechenellekelder","Rue du Chêne, 5, 1000 Brussel, Belgique","bar","Bar typique avec d’excellentes bières ! Décor atypique on valide","3.5","Bar#Authentique#Amis",""
"Maison Dandoy","Galerie du Roi 1–7 1000 Bruxelles/Brussel Belgique","generic","Salon de thé typique ! 
Tips: prendre gaufre de liege ","4","Gouter#Gaufre",""
"La Noceria","58 Rue d'Aboukir, Paris 75002","restaurant","Bar à tapas espagnol ","3","À essayer#Ambiance#Tapas",""
"Le Bistrot Gourmand","5 Place Winston Churchill, 87000 Limoges, France","restaurant","Cuisine typique française ! Plats très copieux  et délicieux ","4.5","À essayer#Ambiance#Amis#Authentique#Viandes",""
"Il Massimo del Gelato","Corso Magenta, 28, 20121 Milano, Italie","shopping","Excellentes glaces","","À essayer#Authentique#Glace",""
"Marchesi 1824","Galleria Vittorio Emanuele II, Milano MI 20121","restaurant","Pâtisserie historique de milan dans la galerie vittorio Emanuel’s II! Salon de thé idéal pour le goût ! Excellentes pâtisseries ! A y aller sans hésiter ! Idéal pour prendre une pause après les visites ","5","À essayer#Ambiance#Authentique#Gateaux#Glace#Gouter#Salon de the",""
"Caffe Napoli","Via Vigevano 1–19 20144 Milan Lombardie Italie","generic","Petit déjeuner typique italien ! Très chaleureux et bon","3.5","Cafe#Authentique#Petit dej",""
"Pizzium - Via Vigevano","Via Vigevano, 33, 20144 Milano MI, Italie","restaurant","Temple de la pizza ! Très bon et pas cher ! Spritz à 6 euros excellent (meilleure que la terrasse apérol)","4","À essayer#Ambiance#Amis#Authentique#Pizza#Pas cher#Pizza pas chere et top",""
"Hotel Villa Cipressi","Via 4 Novembre, 22, 23829 Varenna LC, Italie","lodging","Magnifique vue sur le lac de Côme ! Hôtel 4*! Cocktails délicieux à 18 euros ! Jardin botanique sublime ! A faire de passage à Varennes ","5","À essayer#Ambiance#Amis#Authentique#Bar#Cocktails#Vue panoramique#Vue mer",""
"Terrazza Aperol","Piazza del Duomo 20123 Milan Lombardie Italie","generic","Le temple du spritz! Un délice ! Vue imprenable sur le duomo","5","Ambiance#À essayer#Amis#Authentique#Bar",""
"GinO12","Alzaia Naviglio Grande, 12, 20144 Milano, Italie","bar","La plus petite distillerie de gin au monde ! Distillerie du gin sous vos yeux ! A tester !
Dans le quartier de naviglio","","Gin to pas cher#Amis#Authentique#Bar",""
"La Cresciamia","Via Vitruvio 32 20124 Milan Lombardie Italie","generic","Paninis très bons ! A 5 min de la gare centrale menant à l aéroport ! Idéal pour manger en sortant de l’aéroport ! Paninis typiques avec spécialités locales italiennes ! ","4","Ambiance#À essayer#Authentique#Sandwich#Pas cher#Specialites locales",""
"Les Causeurs","170 Rue Montmartre, 75002 Paris, France","generic","Bar à Grands Boulevards : simpleefficace et cadre sympa
","","À essayer#Ambiance#Amis#Bar",""
"BRASSERIE ALESTI","13 Rue du Faubourg Montmartre, Paris 75009","generic","Brasserie à côté de Grands Boulevards avec un décor très sympa ! Produits de circuit court !

Bonne adresse mais ne pas avoir un appétit d’ogre","3.5","Ambiance#À essayer#Amis#Authentique#French cook#Restaurant#Viandes#Wine",""
"Luisa Maria","12 Rue Monsieur le Prince, 75006 Paris, France","restaurant","Très bon italien à Odeon ! Très sympa
Et ambiance à l’italienne ","4","À essayer#Ambiance#Amis#Authentique#Carpe diem#Restaurant#Pizza#Excellent#Cocktails#Italien",""
"L'Arbane - Cocktail Club","10 Rue Guénégaud, 75006 Paris, France","bar","Bar à cocktails à Mabillon ! Très bon cocktail et cadre cosy et tamisé 

Tips : tous les cocktails à 10 euros jusqu à 20h","4.5","À essayer#Amis#Carpe diem#Cocktails#Champagne bar",""
"Vita Ristorante","9 Rue de l'École de Médecine, 75006 Paris, France","restaurant","Tres bon italien à Odeon avec un très beau cadre et super ambiance avec un pianiste ! Pâtes à la truffes incroyables ! Je recommande pour une petit occasion sympathique 

Petit bémol service expéditif ","4.5","À essayer#Ambiance#Cadre sympa#Authentique#Cocktails#Excellent#Italien#Pizza#Pates àla truffe#Restaurant",""
"DAGOBERT","31 Rue du Grand Marché, 37000 Tours, France","restaurant","Très bon resto de plats typiques ","","À essayer#Ambiance#Amis#Authentique#Carpe diem#Cocktails#French cook#Restaurant#Viandes",""
"Lobsta - les Passages","5 Rue Tony Garnier, 92100 Boulogne-Billancourt, France","generic","Street food lobster ! Tres bon et copieux ! Lobster rolls et crevettes roll un délice ! ","4","À essayer#Lobster#Street food#Poisson",""
"Traiteur Zing Lai Lai","147 Avenue Félix Faure 75015 Paris France","generic","Bon italien ! Service par des italiens ","3.5","À essayer#Ambiance#Amis#Authentique#Carpe diem#Cocktails#Italien#Pates àla truffe#Pizza#Restaurant",""
"La Cidrerie","26 Place Hamelin, 14600 Honfleur, France","shopping","Crêperie typique au cœur d’Honfleur ! Très bonnes crêpes ! Accueil simple et chaleureux ! Tout est fait maison et produits locaux ! Très bien ","4","Cadre sympa#À essayer#Ambiance#Amis#Authentique#Crepes#Creperie#Restaurant",""
"LE HIBOUVILLE - DEAUVILLE","12 Pl. de Morny, 14800 Deauville, France","restaurant","Bar classique sur la place du marché de Deauville ! ","2","Bar#Authentique#Carpe diem",""
"Cabane Perchée","Boulevard de la Cahotte, 14360 Trouville-sur-Mer, France","restaurant","Cadre très sympa et brunch très bon et très complet ! 

Très belle vue mer

Attention dimanche midi uniquement formule brunch","4","À essayer#Ambiance#Amis#Brunch#Cadre sympa#Cocktails#Vue panoramique#Vue mer#Rooftop",""
"Salon De The Hotel Dauphin","12 Place Pierre Berthelot 14600 Honfleur France","generic","Salon de thé très sympa avec crêpes maison et chocolat chaud sympa ","4","À essayer#Amis#Ambiance#Creperie#Gateaux#Gouter",""
"Cavale","40 R. des Petites Écuries, 75010 Paris, France","restaurant","Si vous connaissez/ aimez poni, foncez ! Très bonne adresse avec pas mal de place et même carte que poni ","4","À essayer#Ambiance#Amis#Authentique#Carpe diem#Cocktails#Restaurant#Viandes#Poisson",""
"Mama Rooftop Paris West","Avenue De La Porte De La Plaine, Paris 75015","lodging","Rooftop à côté du parc des expo ( Porte de Versailles) 

Rooftop un peu décevant mais cocktails très bons ","1.5","Rooftop#Tapas#Restaurant#Bar#Carpe diem#Cocktails",""
"El Chalan","6 Rue Lefebvre, 75015 Paris, France","restaurant","Authentique restaurant péruvien ! Service très agréable et mets copieux ! C est bon

Seul bémol: l’emplacement du resto un peu excentré","3","Péruvien#Ambiance#Authentique#Restaurant",""
"Amour ","17 Boulevard Edgar Quinet, 75014 Paris, France","generic","Bar très sympa sous le thème de l’amour ! Sympa pour un verre entre amis ! HH jusqu à 20 h ","2.5","Cocktails#Carpe diem",""
"PANOZZI MARAIS","17 Rue des Archives, 75004 Paris, France","restaurant","Street food sicilienne ! Le champion du monde du panini pizza ! Très sympa et rapide efficace ","3","À essayer#Amis#Authentique#Pizza#Street food",""
"Restaurant IDA","117 Rue de Vaugirard, 75015 Paris, France","restaurant","Restaurant italien très sympa avec 2 menus : un signature et un du chef ( menu à l’aveugle)

Carbonara et carpuccino ida à tester ++ ","4","À essayer#Ambiance#Carpe diem#Cocktails#Pates àla truffe#Restaurant",""
"Crêperie Contemporaine 142","59 Rue St Charles, 75015 Paris, France","restaurant","Tres bonne crêperie à prix abordables ! ","4","À essayer#Amis#Authentique#Creperie#Crepes",""
"Pousse Café","48 Rue Barthelemy Danjou, 92100 Boulogne-Billancourt, France","restaurant","Bistrot typique et très bon ! A la bonne franquette et un service très sympa ! Une bonne adresse pour un repas de bistrot français ! ","4","Amis#Ambiance#À essayer#Authentique#Carpe diem#Cafe#Restaurant",""
"Le Petit Josselin","59 Rue du Montparnasse, 75014 Paris, France","shopping","Très bonne crêperie à Montparnasse! Valeur sure et réconfortante 

Pas de réservation possible : venir tôt et être patient ","3","À essayer#Carpe diem#Authentique#Restaurant#Pas cher#Creperie#Crepes",""
"Ristorante Italiano da Pupetta","55 Rue Brancion, 75015 Paris, France","restaurant","Très bon resto italien avec des produits  italiens et un chef amoureux de sa cuisine ! Un vrai bon moment ","4.5","À essayer#Ambiance#Amis#Authentique#Restaurant#Italien",""
"Brasserie Dubillot","222 Rue Saint-Denis, Paris 75002","restaurant","Très bonne brasserie avec son décor très charmant ! A tester 

Petit bonus à la fin : petits shooters à la fin 😜","3","À essayer#Ambiance#Amis#Authentique#Carpe diem#Cadre sympa#Viandes#Tres bon gin to",""
"Odette L'Auberge Urbaine","23/25 Rue du Pont Neuf, 75001 Paris, France","restaurant","Très belle découverte de ce restaurant : excellents apéritifs et amuse bouches ! Service très attentionné et gentil ! Je ne peux que recommander ! 

Carte simple mais produits de qualité et raffinés ! 
Carte de plats français dans un décor tendance.  
Coup de coeur pour le filet de bœuf et son jus de viande 😍","3","À essayer#Ambiance#Amis#Cocktails#Carpe diem#Restaurant#Viandes#Wine#French cook#French cook",""
"Aux Émotions","1 Rue Dante, 75005 Paris, France","bar","Bar avec bon cocktails ! 

Ambiance sympa car salle au fond avec décor sympa réservable ","4","À essayer#Ambiance#Amis#Bar#Cocktails",""
"Le Commerce Lyon","53 Rue de Marseille, 69007 Lyon, France","restaurant","Bar avec DJ très sympa ","3.5","Cadre sympa#Cafe#Authentique#Bar",""
"Le Perko Café","8 Place du Griffon, 69001 Lyon, France","cafe","Très beau café ! Cadre sympa ","3.5","À essayer#Amis#Authentique#Cafe#Cadre sympa",""
"La Commune","3 Rue Pré-Gaudry, 69007 Lyon, France","restaurant","Type félicita version Lyon ","2.5","À essayer#Ambiance#Amis",""
"Boutique Pralus Lyon St Jean","27 Rue Saint-Jean, 69005 Lyon, France","restaurant","Praluline à tester impérativement","","À essayer#Specialites locales",""
"Ikône - Bar à Chocolat & EveryDay Brunch","13 Rue Constantine, 69001 Lyon, France","restaurant","Crêpes excellentes !  Bon café ( qui fait aussi brunch)
Sans réservation possible ","","À essayer#Cafe",""
"Daniel et Denise","156 Rue de Crèqui, 69003 Lyon, France","restaurant","Bouchon lyonnais très bon ! Je recommande ++ la volaille

Gros coup de coeur le gratin de macaroni","5","Ambiance#Carpe diem#Cadre sympa#Restaurant",""
"Poni","24 Rue Saint-Lazare, 75009 Paris, France","generic","Resto bistrot bon et très sympa ! Brasserie moderne : Personnel au top ! Je recommande ! Carte large et tres sympa ! Copieux et délicieux 

Bavette ++ ","4","À essayer#Authentique#Cadre sympa#Restaurant",""
"Le Floride","52 Allée des Jardins, 34280 La Grande-Motte, France","cafe","Très belle vue sur le port ","","À essayer#Ambiance#Amis",""
"Duque da Rua","R. do Duque 23, 1200-158 Lisboa, Portugal","restaurant","Très bonne adresse très copieuse et pas chère ! A tester les yeux fermés ! ","4.5","À essayer#Ambiance#Amis#Authentique#Tapas#Specialites locales#Restaurant",""
"Manteigaria","Rua do Loreto 2, 1200-108 Lisboa, Portugal","restaurant","Très bon pasteis de nata ","5","À essayer#Ambiance#Amis",""
"Zazah","R. São Marçal 111, 1200-420 Lisboa, Portugal","restaurant","Bon restaurant ","3","Cadre sympa#À essayer#Ambiance#Authentique#Restaurant",""
"28 Restaurante","Calçada de Santo André 3, 1100-495 Lisbonne, Portugal","generic","Très beau brunch et bon","5","À essayer#Ambiance#Authentique#Carpe diem#Excellent",""
"Volfoni Boulogne","16 Boulevard de la République Boulogne-Billancourt 92100","restaurant","","","À essayer#Italien#Pizza#Pates àla truffe#Restaurant",""
"Le Petit Voisin","37 Rue Peyrolières, 31000 Toulouse, France","bar","Bar au charme inégalable ! Très bonne ambiance et service au top ! A venir pour boire un verre ","5","Ambiance#Amis#Bar",""
"Le Panache","34 Rue des Filatiers 31000 Toulouse France","restaurant","Excellent resto ! Cocktail à tester obligatoirement ! Je recommande le magret et poulpe ! Plats très bons ! Je recommande les yeux fermés ! A réserver ++

Sinon les tapas sont incroyables ! ","5","À essayer#Amis#Authentique#Cadre sympa#Carpe diem#Cocktails#Restaurant#Viandes#Tres bon gin to",""
"The Four Monkeys","7 Rue de Metz, 31000 Toulouse, France","bar","Bar très authentique on adore ","3.5","Ambiance#À essayer#Bar",""
"Oulala","Rue Labéda, 31000 Toulouse, France","generic","Bar sympa et très bonne planche très quali ","","Ambiance#À essayer#Amis#Authentique",""
"Napoli Caffè","8 Rue Réaumur, 75003 Paris, France","cafe","Formules très appréciables ! Petit endroit très authentique et cuisine très bien ! On recommande si recherche endroit authentique sans chichi","","À essayer#Ambiance#Amis#Authentique#Italien#Pizza#Pates àla truffe#Pizza pas chere et top",""
"Manhattan Terrazza","108 Avenue de Villiers, 75017 Paris, France","restaurant","Très belle déco ! HH
Bon reto ","","À essayer#Ambiance#Amis#Authentique#Carpe diem#Cocktails#Cadre sympa#Happy hour#Italien#Restaurant#Pates àla truffe#Pizza#Wine",""
"Pastasuta","2 Rue de la Coutellerie, 75004 Paris, France","restaurant","Très bon italien à côté de l Hôtel de Ville ! Pâtes faites maison ","4.5","Authentique#Amis#Cocktails#Carpe diem#Restaurant#Pates àla truffe#Italien",""
"Hotel Gramont Paris","22 Rue de Gramont, 75002 Paris, France","lodging","","","Sans reservation#À essayer",""
"Comptoir Gourmet","51 Rue du Temple, 75004 Paris, France","restaurant","Resto italien très convivial et idéal pour partager un bon moment !
Le principe ? Planches à partager ou pièces à déguster à plusieurs 

Très bon vin 

Quartier dans le marais rue très calme ! ","4","À essayer#Amis#Authentique#Bar à vin#Carpe diem#Italien#Restaurant#Specialites locales#Wine",""
"Madame Rêve","48 Rue du Louvre, 75001 Paris, France","lodging","Tres beau cadre dans l’ancienne poste du Louvre! On recommande plus le cadre que le repas ! Mais très sympa et très beau ","3","À essayer#Ambiance#Authentique#Cadre sympa#Carpe diem#Cocktails#Hotel#Restaurant#Salon de the#Viandes",""
"Les Grands Gamins - Bar à jeux de société et Boutique","19 Rue de Cléry, 75002 Paris, France","bar","Bar à jeux à sentier ! ","","Bar à jeux#Ambiance#Amis#Authentique#Bar#À essayer",""
"Les Enfants Perdus","9 Rue des Récollets, 75010 Paris, France","restaurant","Très bon restaurant que je recommande ++ ! Cuisine à la française ! 

Petit tips : faire le bar enfants gâtés juste avant puis dîner 
A réserver ++ ","3","Ambiance#À essayer#Carpe diem#Authentique#Amis#Poisson#Viandes#Wine",""
"Brasserie Rosie","53 Rue du Faubourg Saint-Antoine, Paris 75011","restaurant","Brasserie très sympa ! Cadre très sympa et bon! Copieux et très bonnes coquillettes à la truffe ! Poisson à ne pas conseiller ","4","À essayer#Ambiance#Amis#Authentique#Pates àla truffe",""
"Polpette","41-43 Rue Catherine de La Rochefoucauld, 75009 Paris, France","restaurant","Très bon italien ","4.5","À essayer#Ambiance#Amis#Cocktails#Excellent#Pates àla truffe#Pizza#Restaurant",""
"Eataly Paris Marais","37 rue sainte-croix de la bretonnerie, Paris 75004","restaurant","Grand mall italien en plein marais ! On valide ++ ( sans réservation) ","","À essayer#Ambiance#Amis#Authentique#Bar à vin#Carpe diem#Cocktails#Pizza#Italien",""
"Au virage Lepic","61 Rue Lepic, 75018 Paris, France","restaurant","Resto et bar très authentique ","","À essayer#Ambiance#Amis#Authentique#Bar",""
"Léandrés, happy food & coffee","78 Rue de Maubeuge, 75009 Paris, France","cafe","Très bon brunch argentin ","","À essayer#Ambiance#Authentique#Brunch",""
"Coq Tail Mix Bar","Ochi 6 554 38 Thessaloniki Grèce","generic","Tout en haut de thessalonique dans la vieille ville ! Magnifique vue panoramique ","","À essayer#Amis#Vue panoramique",""
"Casa Del Treno","Monastiriou, 546 29 Thessalonique, Grèce","generic","Restaurant très sympa et excellent ! Cadre idyllique au port et restaurant sympa ! Je recommande ! Prix tres attractifs ","","À essayer#Ambiance#Amis#Authentique#Excellent#Greek#Vue panoramique",""
"Arampela","546 21 Thessalonique, Grèce","generic","Bar ambulant balade bateau pirate 30 min ","","À essayer#Ambiance#Amis#Bar",""
"Pepper","Nikis 55 546 22 Thessaloniki Grèce","generic","Très joli bar vue sur mer ","","Bar#À essayer#Cocktails",""
"Loupino","Katouni street 3 546 25 Thessaloniki Grèce","generic","Très bon resto grecque ","","À essayer#Authentique#Excellent#Greek#Specialites locales",""
"Wet Red Rose Beach Ckub","Κουντουριώτου 115–129 570 19 Neoi Epivates Grèce","generic","Beach club tres sympa et bar avec tres bon cocktails ","","Ambiance#À essayer#Amis#Bar#Cocktails#Carpe diem#Vue mer",""
"Molubos","Ermou 14 546 24 Thessaloniki Grèce","generic","Beau resto grecque ","","À essayer",""
"GALBAR","50 rue du faubourg poissonnière, Paris 75010","restaurant","Crêpes revisités ! Concept sympa ! ","","À essayer#Restaurant#Creperie",""
"Pastificio Norma","75 Rue de Turbigo, Paris 75003","restaurant","Excellent italien avec pâtes maison ! Je recommande ! Plats copieux : un régal ","","À essayer#Authentique#Cocktails#Italien#Pates àla truffe#Restaurant#Pizza",""
"Le Pommier","40 Rue des Cuisiniers, 14400 Bayeux, France","restaurant","Excellent restaurant ! Très bon mais prix un peu élevé ! Produits locaux et excellents ","","À essayer#Authentique#Excellent",""
